method	contrast	direction	ontology	GO_ID	Description	pvalue	p.adjust	qvalue	Count	signed_effect	p_adjust_fmt	signed_effect_fmt
ORA	P_BD_vs_P_OD	all	MF	GO:0008307	MF: structural constituent of muscle	0.000746298205690059	0.00746298205690059	0.00589182793965836	5	5.58518518518518	7.46e-03	5.59
ORA	P_surface_x_pigmentation	all	BP	GO:0019915	BP: lipid storage	6.25157104257496e-07	5.12628825491146e-05	1.38192623046394e-05	3	158.397321428571	5.13e-05	158.40
ORA	P_surface_x_pigmentation	all	MF	GO:0004993	MF: G protein-coupled serotonin receptor activity	0.00612633753797787	0.0272340034166322	0.00597236917031408	1	139.583333333333	2.72e-02	139.58
ORA	P_surface_x_pigmentation	all	MF	GO:0008374	MF: O-acyltransferase activity	0.0066354506579962	0.0272340034166322	0.00597236917031408	1	128.846153846154	2.72e-02	128.85
ORA	P_surface_x_pigmentation	all	MF	GO:0030371	MF: translation repressor activity	0.0066354506579962	0.0272340034166322	0.00597236917031408	1	128.846153846154	2.72e-02	128.85
ORA	P_surface_x_pigmentation	all	MF	GO:0031489	MF: myosin V binding	0.0066354506579962	0.0272340034166322	0.00597236917031408	1	128.846153846154	2.72e-02	128.85
ORA	P_OL_vs_N_OD	all	MF	GO:0004252	MF: serine-type endopeptidase activity	0.0198310738552201	0.0953169265004695	0.0536668129623206	2	8.8	9.53e-02	8.80
ORA	P_OL_vs_N_OD	all	MF	GO:0008271	MF: secondary active sulfate transmembrane transporter activity	0.0211940677477207	0.0953169265004695	0.0536668129623206	1	44.88	9.53e-02	44.88
ORA	P_OL_vs_N_OD	all	MF	GO:0016831	MF: carboxy-lyase activity	0.0211940677477207	0.0953169265004695	0.0536668129623206	1	44.88	9.53e-02	44.88
ORA	P_OL_vs_N_OD	all	MF	GO:0019531	MF: oxalate transmembrane transporter activity	0.0211940677477207	0.0953169265004695	0.0536668129623206	1	44.88	9.53e-02	44.88
ORA	P_OL_vs_N_OD	all	MF	GO:0004869	MF: cysteine-type endopeptidase inhibitor activity	0.0232896379862627	0.0953169265004695	0.0536668129623206	1	40.8	9.53e-02	40.80
ORA	P_BD_vs_N_BL	all	CC	GO:0030018	CC: Z disc	1.60890622927828e-15	3.15345620938544e-13	2.81135193747574e-13	22	8.25943872400565	3.15e-13	8.26
ORA	P_BD_vs_N_BL	all	CC	GO:0042383	CC: sarcolemma	1.02594038198103e-08	1.00542157434141e-06	8.96347912678165e-07	11	8.88939591481964	1.01e-06	8.89
ORA	P_BD_vs_N_BL	all	BP	GO:0007519	BP: skeletal muscle tissue development	5.93347356940901e-09	4.31956875852976e-06	4.00353321893808e-06	14	6.45641025641026	4.32e-06	6.46
ORA	P_BD_vs_N_BL	all	BP	GO:0045214	BP: sarcomere organization	7.47640993135752e-08	2.71576578079188e-05	2.51707036652342e-05	12	6.45641025641026	2.72e-05	6.46
ORA	P_BD_vs_N_BL	all	BP	GO:0006936	BP: muscle contraction	1.11913425032633e-07	2.71576578079188e-05	2.51707036652342e-05	11	7.0086032388664	2.72e-05	7.01
ORA	N_OD_vs_N_BL	down	MF	GO:0008201	MF: heparin binding	1.27049076316997e-12	9.52868072377479e-11	7.62294457901983e-11	10	-25.3669127225358	9.53e-11	-25.37
ORA	N_OD_vs_N_BL	down	CC	GO:0005576	CC: extracellular region	8.8137506647685e-12	5.55266291880415e-10	4.91714510771295e-10	14	-10.2290066725419	5.55e-10	-10.23
ORA	N_OD_vs_N_BL	down	CC	GO:0062023	CC: collagen-containing extracellular matrix	3.06923995006361e-11	9.66810584270039e-10	8.56156407123008e-10	10	-18.9967266775777	9.67e-10	-19.00
ORA	N_OD_vs_N_BL	down	BP	GO:0007155	BP: cell adhesion	4.21309925946276e-08	1.074340311163e-05	8.47054693218303e-06	9	-10.4326241134752	1.07e-05	-10.43
ORA	N_OD_vs_N_BL	down	CC	GO:0005581	CC: collagen trimer	8.32071586860933e-07	1.74735033240796e-05	1.54736119661858e-05	6	-16.648816638776	1.75e-05	-16.65
ORA	P_OD_vs_P_OL	down	CC	GO:0008305	CC: integrin complex	6.104182145107e-06	0.000470022025173239	0.000404803658043938	4	-30.0188172043011	4.70e-04	-30.02
ORA	P_OD_vs_P_OL	down	MF	GO:0001972	MF: retinoic acid binding	3.46474402040944e-05	0.0030836221781644	0.00266238224726199	3	-43.890625	3.08e-03	-43.89
ORA	P_OD_vs_P_OL	down	CC	GO:0005925	CC: focal adhesion	0.000309658122594031	0.0119218377198702	0.010267611433381	5	-7.65282346491228	1.19e-02	-7.65
ORA	P_OD_vs_P_OL	down	BP	GO:0033627	BP: cell adhesion mediated by integrin	5.9273956937349e-05	0.0131588184400915	0.0116052168319441	3	-35.45	1.32e-02	-35.45
ORA	P_OD_vs_P_OL	down	BP	GO:0032956	BP: regulation of actin cytoskeleton organization	0.000133819752235954	0.0148539924981909	0.0131002494294145	4	-13.9019607843137	1.49e-02	-13.90
ORA	P_BD_vs_P_BL	down	CC	GO:0030057	CC: desmosome	1.18295826614197e-06	7.3343412500802e-05	6.47513998309288e-05	4	-44.7754137115839	7.33e-05	-44.78
ORA	P_BD_vs_P_BL	down	BP	GO:0045104	BP: intermediate filament cytoskeleton organization	2.1216906627228e-06	0.00037129586597649	0.000310436844335231	4	-35.6891766882516	3.71e-04	-35.69
ORA	P_BD_vs_P_BL	down	BP	GO:0008544	BP: epidermis development	0.00027407593892357	0.0239816446558124	0.0200508186896717	3	-19.8592999313658	2.40e-02	-19.86
ORA	P_BD_vs_P_BL	down	MF	GO:0005198	MF: structural molecule activity	0.000321170646062538	0.0253724810389405	0.0250175029564503	4	-11.2872340425532	2.54e-02	-11.29
ORA	P_BD_vs_P_BL	down	BP	GO:0007043	BP: cell-cell junction assembly	0.000726988827160797	0.02908947569651	0.0243214262966309	3	-14.3171697179614	2.91e-02	-14.32
ORA	P_OL_vs_P_BL	down	CC	GO:0031012	CC: extracellular matrix	1.04981258995393e-07	5.03910043177884e-06	4.3097569482319e-06	8	-12.5295454545455	5.04e-06	-12.53
ORA	P_OL_vs_P_BL	down	MF	GO:0050840	MF: extracellular matrix binding	2.33124324192599e-06	0.000153862053967116	0.000132512773751583	4	-34.8213166144201	1.54e-04	-34.82
ORA	P_OL_vs_P_BL	down	CC	GO:0062023	CC: collagen-containing extracellular matrix	7.3357943184136e-06	0.000176059063641926	0.000150576830746384	6	-11.6553911205074	1.76e-04	-11.66
ORA	P_OL_vs_P_BL	down	CC	GO:0036379	CC: myofilament	1.68854533067863e-05	0.000270167252908582	0.00023106409788234	3	-53.6980519480519	2.70e-04	-53.70
ORA	P_OL_vs_P_BL	down	BP	GO:0055010	BP: ventricular cardiac muscle tissue morphogenesis	4.51001577972194e-06	0.000734061920606556	0.000594976504070577	4	-32.8768328445748	7.34e-04	-32.88
ORA	P_OL_vs_N_OD	down	MF	GO:0004252	MF: serine-type endopeptidase activity	0.0182855739413945	0.0900427347565583	0.0521300043327443	2	-9.16666666666667	9.00e-02	-9.17
ORA	P_OL_vs_N_OD	down	MF	GO:0008271	MF: secondary active sulfate transmembrane transporter activity	0.0203191183133301	0.0900427347565583	0.0521300043327443	1	-46.75	9.00e-02	-46.75
ORA	P_OL_vs_N_OD	down	MF	GO:0016831	MF: carboxy-lyase activity	0.0203191183133301	0.0900427347565583	0.0521300043327443	1	-46.75	9.00e-02	-46.75
ORA	P_OL_vs_N_OD	down	MF	GO:0019531	MF: oxalate transmembrane transporter activity	0.0203191183133301	0.0900427347565583	0.0521300043327443	1	-46.75	9.00e-02	-46.75
ORA	P_OL_vs_N_OD	down	MF	GO:0004869	MF: cysteine-type endopeptidase inhibitor activity	0.022329168293597	0.0900427347565583	0.0521300043327443	1	-42.5	9.00e-02	-42.50
ORA	P_BD_vs_N_BL	down	BP	GO:0006955	BP: immune response	0.000102234307711752	0.0139038658487982	0.00936251028518147	4	-12.4005471956224	1.39e-02	-12.40
ORA	P_BD_vs_N_BL	down	BP	GO:0019882	BP: antigen processing and presentation	0.000732318467641863	0.0497976557996467	0.0335324772025485	2	-37.6445182724252	4.98e-02	-37.64
ORA	P_BD_vs_N_BL	down	MF	GO:0008009	MF: chemokine activity	0.00104219556481208	0.0687849072775973	0.0559494461109643	2	-37.2990033222591	6.88e-02	-37.30
ORA	P_BD_vs_N_BL	down	BP	GO:0071347	BP: cellular response to interleukin-1	0.0031792671814818	0.126633563149338	0.0852718265788887	2	-18.1732157177225	1.27e-01	-18.17
ORA	P_BD_vs_N_BL	down	BP	GO:0006954	BP: inflammatory response	0.00434397573833317	0.126633563149338	0.0852718265788887	3	-6.93451652386781	1.27e-01	-6.93
GSEA	N_OD_vs_N_BL	NES_negative	CC	GO:0062023	CC: collagen-containing extracellular matrix	1.10255444945087e-15	5.54584888073788e-13	4.96729794068392e-13	130	-2.56302340478915	5.55e-13	-2.56
GSEA	N_OD_vs_N_BL	NES_negative	CC	GO:0005576	CC: extracellular region	5.91222127583538e-09	7.43461825436298e-07	6.65902817383563e-07	338	-1.83131760213521	7.43e-07	-1.83
GSEA	N_OD_vs_N_BL	NES_negative	MF	GO:0008201	MF: heparin binding	7.5951128389984e-08	3.02285490992136e-05	2.71025605517943e-05	98	-2.15803452270284	3.02e-05	-2.16
GSEA	N_OD_vs_N_BL	NES_negative	MF	GO:0050840	MF: extracellular matrix binding	2.32549667504304e-07	5.33930222029856e-05	4.78715538926531e-05	30	-2.32782379227274	5.34e-05	-2.33
GSEA	N_OD_vs_N_BL	NES_negative	MF	GO:0005178	MF: integrin binding	2.68306644236109e-07	5.33930222029856e-05	4.78715538926531e-05	100	-2.06065826273175	5.34e-05	-2.06
GSEA	P_OD_vs_P_OL	NES_negative	CC	GO:0030057	CC: desmosome	5.54861711912985e-07	3.88403198339089e-05	3.43763947831804e-05	20	-2.19076897298694	3.88e-05	-2.19
GSEA	P_OD_vs_P_OL	NES_negative	CC	GO:0005911	CC: cell-cell junction	1.48336616917267e-05	0.000559114940688159	0.000494855758460841	156	-1.78150887267849	5.59e-04	-1.78
GSEA	P_OD_vs_P_OL	NES_negative	BP	GO:0035556	BP: intracellular signal transduction	2.40561660241064e-06	0.00061931262975394	0.000573127604574325	381	-1.63322867173076	6.19e-04	-1.63
GSEA	P_OD_vs_P_OL	NES_negative	CC	GO:0005887	CC: integral component of plasma membrane	3.61554050846194e-05	0.00118107656609757	0.00104533522069215	412	-1.56891138785527	1.18e-03	-1.57
GSEA	P_OD_vs_P_OL	NES_negative	BP	GO:0030182	BP: neuron differentiation	6.44540001524314e-06	0.00130143776930465	0.00120438349775052	105	-1.95917251410285	1.30e-03	-1.96
GSEA	P_BD_vs_P_BL	NES_negative	BP	GO:0031101	BP: fin regeneration	8.03549560108364e-07	0.000153793457943519	0.000143674450916597	99	-2.05714269444991	1.54e-04	-2.06
GSEA	P_BD_vs_P_BL	NES_negative	BP	GO:0008544	BP: epidermis development	9.40129835178572e-06	0.0013369989298861	0.00124902963816582	31	-2.13616117981797	1.34e-03	-2.14
GSEA	P_BD_vs_P_BL	NES_negative	CC	GO:0042470	CC: melanosome	2.65175939573069e-05	0.0013406116945083	0.00123128477205273	38	-2.10067504690888	1.34e-03	-2.10
GSEA	P_BD_vs_P_BL	NES_negative	CC	GO:0043235	CC: receptor complex	0.000119382885591234	0.00493811026763742	0.00453540723250909	146	-1.72882664824759	4.94e-03	-1.73
GSEA	P_BD_vs_P_BL	NES_negative	BP	GO:0030318	BP: melanocyte differentiation	5.37755303427273e-05	0.00563510952170369	0.00526434139144594	47	-1.99374818706748	5.64e-03	-1.99
GSEA	P_OL_vs_P_BL	NES_negative	CC	GO:0030018	CC: Z disc	2.25616056841164e-20	1.09649403624806e-17	9.80836120793692e-18	127	-2.75556350747113	1.10e-17	-2.76
GSEA	P_OL_vs_P_BL	NES_negative	CC	GO:0031430	CC: M band	9.52758826066783e-17	2.31520394734228e-14	2.07099681666095e-14	39	-2.80884945380394	2.32e-14	-2.81
GSEA	P_OL_vs_P_BL	NES_negative	BP	GO:0045214	BP: sarcomere organization	3.95161004675432e-17	9.04523539702063e-14	8.33165781436726e-14	90	-2.74381714344764	9.05e-14	-2.74
GSEA	P_OL_vs_P_BL	NES_negative	BP	GO:0006936	BP: muscle contraction	6.96530618130401e-15	7.97179292450244e-12	7.34289909534312e-12	79	-2.68645492719456	7.97e-12	-2.69
GSEA	P_OL_vs_P_BL	NES_negative	CC	GO:0005865	CC: striated muscle thin filament	1.91036342857321e-13	3.09478875428859e-11	2.76835121403766e-11	38	-2.72354085339099	3.09e-11	-2.72
GSEA	P_BD_vs_P_OD	NES_negative	CC	GO:0005576	CC: extracellular region	0.00165158741535894	0.0214706363996663	0.0180805359155084	20	-1.895896011469	2.15e-02	-1.90
GSEA	P_BD_vs_P_OD	NES_negative	BP	GO:0031101	BP: fin regeneration	0.00382001638097013	0.0257974601580941	0.0192349483634912	18	-1.87318641568855	2.58e-02	-1.87
GSEA	P_BD_vs_P_OD	NES_negative	BP	GO:0015986	BP: ATP synthesis coupled proton transport	0.00429957669301568	0.0257974601580941	0.0192349483634912	11	-1.84966614520448	2.58e-02	-1.85
GSEA	P_BD_vs_P_OD	NES_negative	CC	GO:0005747	CC: mitochondrial respiratory chain complex I	0.00391317778891484	0.0423927593799108	0.0356991657936091	12	-1.93161983797738	4.24e-02	-1.93
GSEA	P_BD_vs_P_OD	NES_negative	BP	GO:0042776	BP: mitochondrial ATP synthesis coupled proton transport	0.0124695007374856	0.0528120031234685	0.0393773707499546	10	-1.68743600270396	5.28e-02	-1.69
GSEA	P_surface_x_pigmentation	NES_negative	CC	GO:0005739	CC: mitochondrion	9.12922978419501e-14	4.59200258145009e-11	4.32437200303974e-11	460	-2.0440564220023	4.59e-11	-2.04
GSEA	P_surface_x_pigmentation	NES_negative	BP	GO:0032981	BP: mitochondrial respiratory chain complex I assembly	3.65237927999844e-07	0.000533632775698151	0.000516875620866409	34	-2.29154246678279	5.34e-04	-2.29
GSEA	P_surface_x_pigmentation	NES_negative	CC	GO:0005747	CC: mitochondrial respiratory chain complex I	5.69615610951784e-06	0.00104069760489616	0.000980043784039492	45	-2.13368251919742	1.04e-03	-2.13
GSEA	P_surface_x_pigmentation	NES_negative	CC	GO:0005743	CC: mitochondrial inner membrane	6.20694396558345e-06	0.00104069760489616	0.000980043784039492	84	-2.07237628683112	1.04e-03	-2.07
GSEA	P_surface_x_pigmentation	NES_negative	MF	GO:0008137	MF: NADH dehydrogenase (ubiquinone) activity	8.59707965632208e-05	0.030254451072026	0.0289188111135235	14	-2.04182574323309	3.03e-02	-2.04
GSEA	P_OL_vs_N_OD	NES_negative	BP	GO:0045087	BP: innate immune response	2.73635821416596e-08	5.67172429845309e-06	4.8049926535833e-06	104	-2.14546149351331	5.67e-06	-2.15
GSEA	P_OL_vs_N_OD	NES_negative	BP	GO:0006955	BP: immune response	6.30943616353004e-07	8.99094653303031e-05	7.61698378952475e-05	83	-2.14827492995061	8.99e-05	-2.15
GSEA	P_OL_vs_N_OD	NES_negative	BP	GO:0019369	BP: arachidonic acid metabolic process	1.98507372289508e-05	0.00133116708476493	0.00112774312121129	19	-2.14139584963157	1.33e-03	-2.14
GSEA	P_OL_vs_N_OD	NES_negative	BP	GO:0016579	BP: protein deubiquitination	2.42261151871116e-05	0.00157815836076041	0.00133699011634135	96	-1.90221755484721	1.58e-03	-1.90
GSEA	P_OL_vs_N_OD	NES_negative	MF	GO:0004842	MF: ubiquitin-protein transferase activity	2.78801791695306e-05	0.00360583650592596	0.00329670890530941	213	-1.72639437051849	3.61e-03	-1.73
GSEA	P_BD_vs_N_BL	NES_negative	BP	GO:0008544	BP: epidermis development	1.95176587872316e-08	2.23672369701675e-06	1.98771946069964e-06	33	-2.36138942951257	2.24e-06	-2.36
GSEA	P_BD_vs_N_BL	NES_negative	BP	GO:0006955	BP: immune response	2.22178494590184e-07	2.21405699826392e-05	1.96757614202291e-05	85	-2.158579219879	2.21e-05	-2.16
GSEA	P_BD_vs_N_BL	NES_negative	CC	GO:0005764	CC: lysosome	7.82576569694441e-07	3.13100329905793e-05	2.52031225311164e-05	185	-1.85323527458222	3.13e-05	-1.85
GSEA	P_BD_vs_N_BL	NES_negative	BP	GO:0042981	BP: regulation of apoptotic process	1.06188118549878e-06	9.73532670865278e-05	8.65153723764267e-05	136	-1.94657819600388	9.74e-05	-1.95
GSEA	P_BD_vs_N_BL	NES_negative	BP	GO:1901223	BP: negative regulation of NIK/NF-kappaB signaling	1.42308641238884e-06	0.000125450540661354	0.00011148470477621	21	-2.20237866199138	1.25e-04	-2.20
GSEA	N_OD_vs_N_BL	NES_positive	CC	GO:0005739	CC: mitochondrion	1.63116001281678e-13	4.10236743223421e-11	3.67440255518728e-11	459	2.05033296175431	4.10e-11	2.05
GSEA	N_OD_vs_N_BL	NES_positive	CC	GO:0030018	CC: Z disc	2.5493334331054e-09	4.27438238950672e-07	3.82847266445302e-07	125	2.26649213978148	4.27e-07	2.27
GSEA	N_OD_vs_N_BL	NES_positive	CC	GO:0042470	CC: melanosome	9.35222550295267e-09	9.40833885597038e-07	8.42684740055525e-07	53	2.34882779430677	9.41e-07	2.35
GSEA	N_OD_vs_N_BL	NES_positive	MF	GO:0016491	MF: oxidoreductase activity	6.55690972805908e-09	5.21930014353503e-06	4.67956294276217e-06	209	2.06929123608818	5.22e-06	2.07
GSEA	N_OD_vs_N_BL	NES_positive	BP	GO:0045214	BP: sarcomere organization	5.24851556772404e-09	1.24337333799383e-05	1.07124965113862e-05	91	2.2674010849143	1.24e-05	2.27
GSEA	P_OD_vs_P_OL	NES_positive	CC	GO:0005739	CC: mitochondrion	1.87664817156808e-26	9.19557604068361e-24	8.13872680722158e-24	449	2.45034022038866	9.20e-24	2.45
GSEA	P_OD_vs_P_OL	NES_positive	MF	GO:0003735	MF: structural constituent of ribosome	1.58676333618986e-11	1.22498129553857e-08	1.11908572131285e-08	159	2.31545216022228	1.22e-08	2.32
GSEA	P_OD_vs_P_OL	NES_positive	CC	GO:0005743	CC: mitochondrial inner membrane	6.08556949930005e-11	1.49096452732851e-08	1.31960770195348e-08	80	2.46320861509947	1.49e-08	2.46
GSEA	P_OD_vs_P_OL	NES_positive	CC	GO:0031430	CC: M band	1.07206386595122e-09	1.74760647510931e-07	1.54675374381318e-07	40	2.44199608795754	1.75e-07	2.44
GSEA	P_OD_vs_P_OL	NES_positive	CC	GO:0005840	CC: ribosome	1.42661753070147e-09	1.74760647510931e-07	1.54675374381318e-07	158	2.15897573267958	1.75e-07	2.16
GSEA	P_BD_vs_P_BL	NES_positive	CC	GO:0030018	CC: Z disc	7.63847294910725e-24	3.4755051918438e-21	3.19207764294271e-21	115	3.01588235350329	3.48e-21	3.02
GSEA	P_BD_vs_P_BL	NES_positive	BP	GO:0045214	BP: sarcomere organization	7.41927191552561e-13	1.47717703838115e-09	1.37998457628776e-09	82	2.68110179860803	1.48e-09	2.68
GSEA	P_BD_vs_P_BL	NES_positive	BP	GO:0006936	BP: muscle contraction	2.58150324400655e-12	2.56988647940852e-09	2.40079801692609e-09	70	2.69742185195611	2.57e-09	2.70
GSEA	P_BD_vs_P_BL	NES_positive	MF	GO:0051371	MF: muscle alpha-actinin binding	4.73753367930677e-11	3.19783523353207e-08	2.99711341185618e-08	32	2.64737947019464	3.20e-08	2.65
GSEA	P_BD_vs_P_BL	NES_positive	CC	GO:0031430	CC: M band	4.90332261554452e-10	9.81724183357375e-08	9.01664547814639e-08	34	2.66974554481658	9.82e-08	2.67
GSEA	P_OL_vs_P_BL	NES_positive	BP	GO:0033278	BP: cell proliferation in midbrain	1.32784165750286e-07	1.89964347126503e-05	1.74978081577515e-05	10	2.12727649280587	1.90e-05	2.13
GSEA	P_OL_vs_P_BL	NES_positive	BP	GO:0035115	BP: embryonic forelimb morphogenesis	3.23530665153543e-07	4.35624525021447e-05	4.01258156224487e-05	40	2.22899173226764	4.36e-05	2.23
GSEA	P_OL_vs_P_BL	NES_positive	BP	GO:0009052	BP: pentose-phosphate shunt, non-oxidative branch	5.08361882623113e-07	6.46466860735726e-05	5.95467164265553e-05	11	2.15145135690142	6.46e-05	2.15
GSEA	P_OL_vs_P_BL	NES_positive	BP	GO:0030182	BP: neuron differentiation	1.02762499234338e-06	0.000123801768814421	0.000114035061477218	106	2.02736686103678	1.24e-04	2.03
GSEA	P_OL_vs_P_BL	NES_positive	BP	GO:0008544	BP: epidermis development	4.80941786390632e-06	0.000478641630020937	0.000440881646746195	33	2.09735953446613	4.79e-04	2.10
GSEA	P_BD_vs_P_OD	NES_positive	CC	GO:0030018	CC: Z disc	5.91479434907719e-08	3.84461632690017e-06	3.23757164370541e-06	39	1.75160901280007	3.84e-06	1.75
GSEA	P_BD_vs_P_OD	NES_positive	CC	GO:0030017	CC: sarcomere	7.97158248724352e-05	0.00259076430835414	0.00218169625966665	20	1.66656219683812	2.59e-03	1.67
GSEA	P_BD_vs_P_OD	NES_positive	BP	GO:0007015	BP: actin filament organization	4.79604511585401e-05	0.00345315248341489	0.00257471895693215	23	1.68444550259736	3.45e-03	1.68
GSEA	P_BD_vs_P_OD	NES_positive	BP	GO:0014866	BP: skeletal myofibril assembly	0.000162110898259732	0.00583599233735035	0.0043513977953928	11	1.63256824598816	5.84e-03	1.63
GSEA	P_BD_vs_P_OD	NES_positive	CC	GO:0005865	CC: striated muscle thin filament	0.000332610241111806	0.00720655522408912	0.00606867808344347	14	1.61261071439009	7.21e-03	1.61
GSEA	P_surface_x_pigmentation	NES_positive	BP	GO:0019915	BP: lipid storage	4.48430903948026e-07	0.000533632775698151	0.000516875620866409	32	2.28927795239079	5.34e-04	2.29
GSEA	P_surface_x_pigmentation	NES_positive	MF	GO:0005102	MF: signaling receptor binding	7.38898863070103e-06	0.00586685697277662	0.00560785347656363	179	1.82195952012849	5.87e-03	1.82
GSEA	P_surface_x_pigmentation	NES_positive	CC	GO:0005887	CC: integral component of plasma membrane	0.00014717904251807	0.0185077645966473	0.0174290971402978	452	1.46805846812902	1.85e-02	1.47
GSEA	P_surface_x_pigmentation	NES_positive	BP	GO:0007275	BP: multicellular organism development	2.55943035640336e-05	0.0203048141608	0.0196672016860469	234	1.7233283704639	2.03e-02	1.72
GSEA	P_surface_x_pigmentation	NES_positive	MF	GO:0005125	MF: cytokine activity	0.000158087370403456	0.031380343025086	0.0299949984370768	76	1.83986571372354	3.14e-02	1.84
GSEA	P_OL_vs_N_OD	NES_positive	CC	GO:0062023	CC: collagen-containing extracellular matrix	1.60179571743097e-11	7.88083492976035e-09	7.50314836059768e-09	126	2.39225628932165	7.88e-09	2.39
GSEA	P_OL_vs_N_OD	NES_positive	CC	GO:0005576	CC: extracellular region	2.30283721470319e-10	5.66497954816986e-08	5.39348716075222e-08	314	1.89181738037452	5.66e-08	1.89
GSEA	P_OL_vs_N_OD	NES_positive	MF	GO:0008201	MF: heparin binding	7.3941907510519e-11	5.73789202281627e-08	5.24598375390419e-08	92	2.43406042284921	5.74e-08	2.43
GSEA	P_OL_vs_N_OD	NES_positive	MF	GO:0005509	MF: calcium ion binding	2.32987449271431e-10	9.03991303173154e-08	8.26492320047078e-08	447	1.80279764547562	9.04e-08	1.80
